Clause_ID,Clause_Text,Category,Subcategory,Vulnerability_Level,Annotation_Notes,Key_Terms,Clause_Context,Policy_Type,Vulnerability_Score
C1995,"Teaching Hospital attached to AYUSH College recognized by the Central Government/Central
Council of Indian Medicine/Central Council of Homeopathy; or
c. AYUSH Hospital, standalone or co-located with In-patient healthcare facility of any recognized
system of medicine, registered with the local authorities, wherever applicable, and is under the
supervision of a qualified registered AYUSH Medical Practitioner and must comply with all the
following criterion:
i.",Coverage,Hospital Coverage,Low,"This clause specifies the type of hospitals covered under the policy, with a focus on AYUSH hospitals.","['Teaching Hospital', 'AYUSH College', 'Central Government', 'Central Council of Indian Medicine', 'Central Council of Homeopathy', 'AYUSH Hospital', 'In-patient healthcare facility', 'local authorities', 'registered', 'supervision', 'qualified registered AYUSH Medical Practitioner', 'criterion', 'i']",moderate Coverage,Health,2
C1996,"Having at least 5 in-patient beds
ii.",Coverage,Minimum Facility Requirements,Low,This clause pertains to the minimum number of in-patient beds required for a facility to be covered under the health insurance policy.,['in-patient beds'],low Coverage,Health,1
C1997,"Having qualified AYUSH Medical Practitioner in charge round the clock;
iii.",Coverage,Medical Staffing,Low,This clause indicates that the policy ensures the availability of an AYUSH Medical Practitioner 24/7.,"['AYUSH Medical Practitioner', 'round the clock']",moderate Coverage,Health,2
C1998,"Having dedicated AYUSH therapy sections as required and/or has equipped operation
theatre where surgical procedures are to be carried out;
iv.",Coverage,Facility Requirements,Low,This clause pertains to the minimum facilities required for the hospital to be eligible for coverage under the policy.,"['AYUSH therapy sections', 'operation theatre', 'surgical procedures']",moderate Coverage,Health,2
C1999,"Maintaining daily records of the patients and making them accessible to the insurance
company’s authorized representative
III.",Coverage,Record Keeping,Medium,This clause pertains to the requirement for the policyholder to maintain and provide daily records of patients to the insurance company's authorized representative.,"['patients', 'daily records', 'insurance company', 'authorized representative']",high Coverage,Health,3
C2000,"Associated Medical Expenses shall include Room Rent, nursing charges, Medical Practitioners’ fees
and operation theatre charges
IV.",Coverage,Medical Expenses,Medium,This clause specifies the types of medical expenses covered under the policy,"['Associated Medical Expenses', 'Room Rent', 'nursing charges', 'Medical Practitioners’ fees', 'operation theatre charges']",high Coverage,Health,3
C2001,"Cancer means a malignant tumor characterized by the uncontrolled growth and spread of malignant
cells with invasion and destruction of normal tissues.",Coverage,Disease Coverage,High,This clause defines the term 'Cancer' for the purpose of health insurance coverage.,"['Cancer', 'malignant tumor', 'uncontrolled growth', 'spread', 'malignant cells', 'invasion', 'destruction', 'normal tissues']",high Coverage,Health,3
C2002,"This diagnosis must be supported by histological
evidence of malignancy.",Coverage,Diagnosis Requirements,High,This clause specifies a condition for coverage related to the diagnosis of a malignancy.,"['diagnosis', 'malignancy', 'histological evidence']",high Coverage,Health,3
C2003,"The term cancer includes leukemia, lymphoma and sarcoma.",Coverage,Disease Coverage,High,This clause specifies the types of cancer covered under the policy.,"['cancer', 'leukemia', 'lymphoma', 'sarcoma']",high Coverage,Health,3
C2004,"The following are excluded:
i.",Exclusion,Specific Disease Exclusion,High,This clause excludes certain items from coverage,"['excluded', 'following']",high Exclusion,Health,3
C2005,"All tumors which are histologically described as carcinoma in situ, benign, pre-malignant, borderline
malignant, low malignant potential, neoplasm of unknown behavior, or non-invasive, including but
not limited to: Carcinoma in situ of breasts, Cervical dysplasia CIN-1, CIN - 2 and CIN-3.",Cancer Coverage,Specific Cancer Conditions,Moderate,"This clause pertains to specific types of cancer that are not invasive or malignant, but may have the potential to become malignant.","['Carcinoma in situ', 'benign', 'pre-malignant', 'borderline malignant', 'low malignant potential', 'neoplasm of unknown behavior', 'non-invasive', 'Carcinoma in situ of breasts', 'Cervical dysplasia CIN-1, CIN - 2 and CIN-3']",high Coverage,Health,3
C2006,"Any non-melanoma skin carcinoma unless there is evidence of metastases to lymph nodes or
beyond;
iii.",Coverage,Cancer Coverage,Medium,"This clause pertains to the coverage of non-melanoma skin carcinoma, with an exception for cases where there is evidence of metastases.","['non-melanoma skin carcinoma', 'metastases']",high Coverage,Health,3
C2007,"Malignant melanoma that has not caused invasion beyond the epidermis;
iv.",Disease Coverage,Specific Disease,Low,"This clause specifies a specific condition for coverage, in this case, malignant melanoma that has not caused invasion beyond the epidermis.","['Malignant melanoma', 'Epidermis', 'Invasion']",low Coverage,Health,1
C2008,"All tumors of the prostate unless histologically classified as having a Gleason score greater than 6
or having progressed to at least clinical TNM classification T2N0M0
Product- Health Pulse UIN- NBHHLIP22155V032122 Page 1 of 63",Cancer,Prostate Cancer,Moderate,"This clause specifies the conditions for coverage of prostate cancer, specifically those with a Gleason score greater than 6 or those that have progressed to a certain stage (T2N0M0) according to the TNM classification.","['tumors', 'prostate', 'Gleason score', 'TNM classification', 'T2N0M0']",high Exclusion,Health,3
C2009,"Policy Document
v. All Thyroid cancers histologically classified as T1N0M0 (TNM Classification) or below;
vi.",Coverage,Disease Coverage,Specific,This clause pertains to the coverage of specific types of Thyroid cancers.,"['Thyroid cancers', 'T1N0M0', 'TNM Classification']",low Coverage,Health,1
C2010,"Chronic lymphocytic leukaemia less than RAI stage 3
vii.",Coverage,Disease Specific,Moderate,"This clause pertains to the coverage of Chronic Lymphocytic Leukaemia, specifically for stages less than RAI stage 3.","['Chronic Lymphocytic Leukaemia', 'RAI stage 3']",high Coverage,Health,3
C2011,"Non-invasive papillary cancer of the bladder histologically described as TaN0M0 or of a lesser
classification
viii.",Coverage,Disease Coverage,Specific Disease,The clause specifies a type of bladder cancer that is covered under the policy,"['Non-invasive papillary cancer of the bladder', 'TaN0M0', 'lesser classification']",low Coverage,Health,1
C2012,"All Gastro-Intestinal Stromal Tumors histologically classified as T1N0M0 (TNM Classification) or
below and with mitotic count of less than or equal to 5/50 HPFs;
ix.",Coverage,Coverage_Conditions,Low,"This clause specifies a condition for coverage of Gastro-Intestinal Stromal Tumors, with specific TNM Classification and mitotic count requirements.","['Gastro-Intestinal Stromal Tumors', 'TNM Classification', 'mitotic count', '5/50 HPFs']",moderate Coverage,Health,2
C2013,All tumors in the presence of HIV infection.,Disease Coverage,HIV-related Conditions,High,"No specific condition mentioned, but the clause refers to a tumor, which could be any cancerous growth.","['tumor', 'HIV infection']",high Coverage,Health,3
C2014,"V. Cashless Facility means a facility extended by the insurer to the insured where the payments, of the
costs of treatment undergone by the insured in accordance with the policy terms and conditions, are
directly made to the network provider by the insurer to the extent pre-authorization is approved.",Coverage,Cashless Facility,Low,This clause explains the cashless facility provided by the insurer to the insured for treatments under policy terms and conditions.,"['Cashless Facility', 'insurer', 'insured', 'treatment', 'network provider', 'policy terms and conditions', 'pre-authorization']",moderate Coverage,Health,2
C2015,"Congenital Anomaly means a condition which is present since birth, and which is abnormal with
reference to form, structure or position.",Definitions,Medical Conditions,Medium,No specific vulnerability or exclusion mentioned,"['Congenital Anomaly', 'Condition', 'Since birth', 'Abnormal', 'Form', 'Structure', 'Position']",moderate Coverage,Health,2
C2016,"Internal Congenital Anomaly: Congenital Anomaly which is not in the visible and accessible parts of
the body.",Coverage,Pre-existing Conditions,Medium,"This clause pertains to congenital anomalies that are not in visible and accessible parts of the body, which may be considered as a pre-existing condition.","['Congenital Anomaly', 'Visible and Accessible Parts of the Body']",high Coverage,Health,3
C2017,"External Congenital Anomaly: Congenital Anomaly which is in the visible and accessible parts of the
body.",Coverage,Pre-existing Conditions,Medium,This clause pertains to congenital anomalies that are visible and accessible.,"['External Congenital Anomaly', 'Congenital Anomaly', 'Visible parts', 'Accessible parts']",high Coverage,Health,3
C2018,"Co-payment means a cost-sharing requirement under a health insurance policy that provides that the
Policyholder/insured will bear a specified percentage of the admissible claim amount.",Coverage,Cost Sharing,Medium,"No specific vulnerability noted in this clause, but it does involve a cost-sharing requirement which could potentially be misleading if not well-understood.","['Co-payment', 'Policyholder/insured', 'admissible claim amount', 'percentage']",high Coverage,Health,3
C2019,"A Co-payment
does not reduce the Sum Insured.",Coverage,Co-payment,Low,This clause clarifies that a co-payment does not affect the total amount of insurance coverage provided.,"['Co-payment', 'Sum Insured']",moderate Coverage,Health,2
C2020,"Cumulative Bonus means any increase or addition in the Sum Insured granted by the insurer
without an associated increase in premium
IX.",Coverage,Additional Benefits,Low,No specific vulnerability or additional context noted,"['Cumulative Bonus', 'Sum Insured', 'Increase', 'Addition', 'Insurer']",low Coverage,Health,1
C2021,"Day Care Center means any institution established for Day Care Treatment of Illness and/or Injuries
or a medical set-up with a Hospital and which has been registered with the local authorities, wherever
applicable, and is under the supervision of a registered and qualified Medical Practitioner AND must
comply with all minimum criterion as under:
a. has Qualified Nursing staff under its employment;
b. has qualified Medical Practitioner(s) in charge;
c. has a fully equipped operation theatre of its own where Surgical Procedures are carried out;
d. maintains daily records of patients and will make these accessible to the insurance company’s
authorized personnel.",Coverage,Facilities Covered,Low,The clause describes the conditions for a Day Care Center to be covered under the insurance policy,"['Day Care Center', 'Institution', 'Day Care Treatment', 'Medical Practitioner', 'Nursing staff', 'Operation Theatre', 'Surgical Procedures', 'Daily records', 'Insurance company']",moderate Coverage,Health,2
C2022,"Day Care Treatment refers to medical treatment, and/or Surgical Procedure which is:
a. undertaken under General or Local Anaesthesia in a Hospital/Day Care Center in less than 24 hrs
because of technological advancement, and
b. which would have otherwise required a Hospitalization of more than 24 hours.",Coverage,Treatment,Low,This clause pertains to the definition of Day Care Treatment in the context of health insurance.,"['Day Care Treatment', 'Medical treatment', 'Surgical Procedure', 'General or Local Anaesthesia', 'Hospital/Day Care Center', 'Hospitalization', 'Technological advancement']",moderate Coverage,Health,2
C2023,Treatment normally taken on an OPD basis is not included in the scope of this definition.,Exclusion,Treatment Exclusion,Medium,This clause excludes treatment taken on an OPD basis from the coverage provided in the policy.,"['Treatment', 'OPD', 'Exclusion']",high Exclusion,Health,3
C2024,"Dental Treatment means a treatment related to teeth or structures supporting teeth including
examinations, fillings (where appropriate), crowns, extractions and Surgery.",Coverage,Treatment,Low,The clause defines what dental treatment is covered under the policy.,"['Dental Treatment', 'Examinations', 'Fillings', 'Crowns', 'Extractions', 'Surgery']",low Coverage,Health,1
C2025,"Domiciliary Hospitalization means medical treatment for an Illness/disease/Injury which in the
normal course would require care and treatment at a Hospital but is actually taken while confined at
home under any of the following circumstances:
a. the condition of the patient is such that he/she is not in a condition to be removed to a Hospital, or
b. the patient takes treatment at home on account of non availability of room in a Hospital.",Coverage,Hospitalization,Medium,"This clause defines the conditions for Domiciliary Hospitalization, which is a type of medical treatment that can be received at home instead of a hospital.","['Domiciliary Hospitalization', 'Illness/disease/Injury', 'Home', 'Hospital', 'Condition', 'Treatment', 'Non availability']",high Coverage,Health,3
C2026,"Emergency means a medical condition or symptom resulting from Illness or Injury which arises
suddenly and unexpectedly and requires immediate care and treatment by a Medical Practitioner to
prevent death or serious long term impairment of the Insured Person’s health.",Coverage,Definitions,High,Defines the term 'Emergency' in the context of health insurance,"['Emergency', 'Medical Condition', 'Illness', 'Injury', 'Insured Person', 'Medical Practitioner', 'Prevent death', 'Serious long term impairment']",high Coverage,Health,3
C2027,"Grace Period means the specified period of time immediately following the premium due date during
which a payment can be made to Renew or continue a policy in force without loss of continuity benefits
such as Waiting Periods and coverage of Pre-existing Diseases.",Coverage,Waiting Period,Medium,"The clause explains the Grace Period, which allows for continued policy coverage without loss of benefits like Waiting Periods and coverage for Pre-existing Diseases, even if the premium payment is made after the due date.","['Grace Period', 'premium due date', 'Renew', 'policy', 'Waiting Periods', 'Pre-existing Diseases']",high Coverage,Health,3
C2028,"Coverage is not available for the
period for which no premium is received.",Exclusion,Premium-related Exclusion,High,"This clause specifies a condition under which coverage is not provided, i.e., when no premium is received.","['Coverage', 'Premium', 'Received']",high Exclusion,Health,3
C2029,"Hospital means any institution established for Inpatient Care and Day Care Treatment of Illness and /
or Injuries and which has been registered as a Hospital with the local authorities under the Clinical
Establishments (Registration and Regulation) Act, 2010 or under the enactments specified under the
Schedule of Section 56(1) of the said Act OR complies with all minimum criteria as under:
a. has Qualified Nursing staff under its employment round the clock;
b. has at least 10 Inpatient beds in towns having a population of less than 10,00,000 and at least 15
Inpatient beds in all other places;
c. has qualified Medical Practitioner(s) in charge round the clock;
d. has a fully equipped operation theatre of its own where Surgical Procedures are carried out;
e. maintains daily records of patients and makes these accessible to the Insurance company’s
authorized personnel.",Coverage,Hospital Coverage,Low,Defines the criteria for a hospital to be considered for coverage under the policy,"['Hospital', 'Inpatient Care', 'Day Care Treatment', 'Illness', 'Injuries', 'Clinical Establishments (Registration and Regulation) Act, 2010', 'Schedule of Section 56(1)', 'Qualified Nursing staff', 'Inpatient beds', 'Qualified Medical Practitioner(s)', 'Operation Theatre', 'Surgical Procedures', 'Daily records', 'Insurance company’s authorized personnel']",moderate Coverage,Health,2
C2030,"Hospitalization or Hospitalized means the admission in a Hospital for a minimum period of 24
consecutive Inpatient Care hours except for specified procedures/treatments, where such admission
could be for a period of less than 24 consecutive hours.",Coverage,Inpatient Care,Medium,"The clause specifies the minimum duration for hospitalization or being hospitalized to be considered valid, which could potentially impact the coverage for inpatient care.","['Hospitalization', 'Hospitalized', 'Minimum period', '24 consecutive Inpatient Care hours', 'Specified procedures/treatments', 'Admission could be for a period of less than 24 consecutive hours']",high Coverage,Health,3
C2031,"ICU (Intensive Care Unit) Charges means the amount charged by a Hospital towards ICU expenses
which shall include the expenses for ICU bed, general medical support services provided to any ICU
patient including monitoring devices, critical care nursing and intensivist charges.",Coverage,Services,Medium,This clause defines the charges related to Intensive Care Unit (ICU) services.,"['ICU Charges', 'Hospital', 'ICU expenses', 'ICU bed', 'General medical support services', 'Monitoring devices', 'Critical care nursing', 'Intensivist charges']",high Coverage,Health,3
C2032,"Illness means a sickness or a disease or pathological condition leading to the impairment of normal
physiological function and requires medical treatment.",Definitions,Health Conditions,Medium,This clause defines the term 'Illness' in the context of health insurance.,"['Illness', 'sickness', 'disease', 'pathological condition', 'impairment', 'normal physiological function', 'medical treatment']",high Coverage,Health,3
C2033,"(a) Acute condition - Acute condition is a disease, illness or injury that is likely to respond quickly
to treatment which aims to return the person to his or her state of health immediately before
suffering the disease/ illness/ injury which leads to full recovery
(b) Chronic condition - A chronic condition is defined as a disease, illness, or injury that has one
or more of the following characteristics:
i. it needs ongoing or long-term monitoring through consultations, examinations, check-ups,
and /or tests
ii.",Definitions,Condition Definitions,Low,Defines the characteristics of acute and chronic conditions in the context of health insurance,"['Acute condition', 'Chronic condition', 'Disease', 'Illness', 'Injury', 'Treatment', 'Monitoring', 'Ongoing', 'Long-term', 'Consultations', 'Examinations', 'Check-ups', 'Tests']",moderate Coverage,Health,2
C2034,"it needs ongoing or long-term control or relief of symptoms
iii.",Coverage,Chronic Condition,High,Refers to a condition requiring ongoing or long-term control or relief of symptoms.,"['ongoing', 'long-term', 'control', 'relief', 'symptoms']",high Coverage,Health,3
C2035,"it requires rehabilitation for the patient or for the patient to be specially trained to cope with it
iv.",Coverage,Rehabilitation and Training,Medium,The clause pertains to the requirement for rehabilitation or special training for the patient.,"['rehabilitation', 'patient', 'specially trained', 'cope']",high Coverage,Health,3
C2036,"it continues indefinitely
v. it recurs or is likely to recur
XIX.",Recurring Conditions,Continuous Coverage,High,This clause pertains to the continuation of coverage for recurring conditions.,"['continues indefinitely', 'recurs', 'likely to recur']",high Coverage,Health,3
C2037,"Injury means Accidental physical bodily harm excluding Illness or disease solely and directly caused
by external, violent and visible and evident means which is verified and certified by a Medical
Practitioner.",Exclusion,Health Condition Exclusion,Medium,The clause excludes illness or disease from the definition of injury.,"['Injury', 'Accidental physical bodily harm', 'Illness', 'disease', 'External', 'Violent', 'Visible and evident means', 'Medical Practitioner']",high Exclusion,Health,3
C2038,"Intensive Care Unit means an identified section, ward or wing of a Hospital which is under the
constant supervision of a dedicated Medical Practitioner(s), and which is specially equipped for the
continuous monitoring and treatment of patients who are in a critical condition, or require life support
facilities and where the level of care and supervision is considerably more sophisticated and intensive
than in the ordinary and other wards.",Coverage,Treatment,High,This clause defines the Intensive Care Unit (ICU) as a specialized section of a hospital for critically ill patients requiring life support and intensive care.,"['Intensive Care Unit', 'critical condition', 'life support facilities', 'dedicated Medical Practitioner(s)', 'continuous monitoring', 'ordinary wards']",high Coverage,Health,3
C2039,"Inpatient Care means treatment for which the Insured Person has to stay in a Hospital for more than
24 hours for a covered event.",Coverage,Inpatient Care,Low,No specific vulnerability or additional context noted,"['Inpatient Care', 'Insured Person', 'Hospital', 'Covered event', '24 hours']",low Coverage,Health,1
C2040,"Medical Advice means any consultation or advice from a Medical Practitioner including the issuance
of any prescription or follow-up prescription.",Coverage,Treatment and Services,Medium,This clause defines the scope of medical advice covered under the policy,"['Medical Advice', 'Consultation', 'Medical Practitioner', 'Prescription']",high Coverage,Health,3
C2041,"Medical Expenses means those expenses that an Insured Person has necessarily and actually
incurred for medical treatment on account of Illness or Accident on the advice of a Medical
Practitioner, as long as these are no more than would have been payable if the Insured Person had
not been insured and no more than other Hospitals or doctors in the same locality would have charged
for the same medical treatment.",Coverage,Medical Expenses,Low,"This clause defines the scope of medical expenses covered under the insurance policy, specifying that the expenses must be necessary, actually incurred for medical treatment on account of illness or accident, and must not exceed what would have been payable if the insured person was not insured and what other hospitals or doctors in the same locality would have charged for the same medical treatment.","['Medical Expenses', 'Insured Person', 'Illness', 'Accident', 'Medical Practitioner', 'Hospitals', 'doctors', 'locality']",moderate Coverage,Health,2
C2042,"Medical Practitioner means a person who holds a valid registration from the Medical Council of any
State or Medical Council of India or Council for Indian Medicine or for Homeopathy set up by the
Government of India or a State Government and is thereby entitled to practice medicine within its
jurisdiction; and is acting within the scope and jurisdiction of his licence.",Coverage,Professional Services,Low,This clause defines the qualifications required for a medical practitioner to be eligible for coverage under the policy.,"['Medical Council', 'State', 'Medical Council of India', 'Council for Indian Medicine', 'Homeopathy', 'Government', 'licence', 'practice medicine']",moderate Coverage,Health,2
C2043,"Medically Necessary Treatment means any treatment, tests, medication, or stay in Hospital or part of
a stay in Hospital which:
a. is required for the medical management of the Illness or Injury suffered by the insured;
b. must not exceed the level of care necessary to provide safe, adequate and appropriate medical
care in scope, duration, or intensity;
c. must have been prescribed by a Medical Practitioner;
d. must conform to the professional standards widely accepted in international medical practice or by
the medical community in India.",Coverage,Treatment,Medium,This clause defines the conditions for medically necessary treatment coverage.,"['Medically Necessary Treatment', 'Illness or Injury', 'Hospital', 'Level of care', 'Medical Practitioner', 'Professional standards', 'International medical practice', 'India']",high Coverage,Health,3
C2044,"Migration means the right accorded to health insurance policyholders (including all members under
family cover and members of group health insurance policy), to transfer the credit gained for pre-
existing conditions and time bound exclusions, with the same insurer.",Coverage,Transfer of Pre-existing Conditions,Medium,This clause pertains to the transferability of pre-existing conditions and time-bound exclusions for health insurance policyholders.,"['Migration', 'health insurance policyholders', 'pre-existing conditions', 'time bound exclusions']",high Coverage,Health,3
C2045,"Network Provider means Hospital enlisted by an insurer, TPA or jointly by an insurer and TPA to
provide medical services to an insured by a Cashless Facility.",Coverage,Network Providers,Low,"This clause defines the term 'Network Provider' in the context of health insurance, specifying the hospitals enlisted by an insurer, TPA or jointly by an insurer and TPA to provide medical services to an insured by a Cashless Facility.","['Network Provider', 'Hospital', 'Insurer', 'TPA', 'Cashless Facility']",low Coverage,Health,1
C2046,"Notification of Claim means the process of intimating a claim to the insurer or TPA through any of the
recognized modes of communication.",Coverage,Claim Process,Low,This clause explains the process of notifying a claim to the insurer or TPA.,"['Notification of Claim', 'claim', 'insurer', 'TPA', 'communication']",low Coverage,Health,1
C2047,"Policy Document
XXX.",Coverage,Specific Benefits,Low,This clause does not provide specific details about the benefits covered under the policy.,['Policy Document'],low Coverage,Health,1
C2048,"Non-Network means any Hospital, Day Care Center or other provider that is not part of the network.",Network Coverage,Out-of-network providers,Medium,This clause specifies the conditions for out-of-network providers.,"['Non-Network', 'Hospital', 'Day Care Center', 'provider']",high Exclusion,Health,3
C2049,"OPD Treatment means the one in which the Insured visits a clinic / Hospital or associated facility like
a consultation room for diagnosis and treatment based on the advice of a Medical Practitioner.",Coverage,Treatment,Low,This clause defines OPD treatment as a visit to a clinic or hospital for diagnosis and treatment based on the advice of a medical practitioner.,"['OPD Treatment', 'Clinic', 'Hospital', 'Consultation Room', 'Diagnosis', 'Treatment', 'Medical Practitioner']",moderate Coverage,Health,2
C2050,"The
Insured is not admitted as a day care or In-patient.",Exclusion,Hospitalization,Medium,This clause specifies that the insured is not covered for day care or in-patient admission.,"['Insured', 'Day care', 'In-patient']",high Exclusion,Health,3
C2051,"Pre-existing Disease means any condition, ailment, injury or disease
a.",Pre-existing Conditions,Definition,High,"This clause defines a pre-existing disease, which is a significant term in health insurance policies.","['Pre-existing Disease', 'condition', 'ailment', 'injury', 'disease']",high Exclusion,Health,3
C2052,"That is/are diagnosed by a physician within 48 months prior to the effective date of the policy
issued by the insurer or its reinstatement or
b.",Waiting Period,Diagnostic Waiting Period,Medium,This clause specifies a time limit for when a diagnosis must be made before the policy becomes effective.,"['diagnosed', 'physician', '48 months', 'effective date', 'policy', 'issued', 'reinstatement']",high Waiting Period,Health,3
C2053,"For which medical advice or treatment was recommended by, or received from, a physician within
48 months prior to the effective date of the policy issued by the insurer or its reinstatement.",Waiting Period,Pre-existing Condition,High,Refers to a specific time frame before the policy's effective date,"['medical advice', 'treatment', 'physician', '48 months', 'policy', 'effective date', 'insurer']",high Coverage,Health,3
C2054,"Pre-hospitalization Medical Expenses means medical expenses incurred during pre-defined number
of days preceding the hospitalization of the Insured Person, provided that:
a.",Coverage,Pre-hospitalization Expenses,Medium,This clause defines the scope of pre-hospitalization medical expenses covered by the policy.,"['Pre-hospitalization Medical Expenses', 'Insured Person', 'Hospitalization', 'Defined number of days']",high Coverage,Health,3
C2055,"Such Medical Expenses are incurred for the same condition for which the Insured Person’s
Hospitalization was required, and
b.",Coverage,Hospitalization,Medium,This clause pertains to the conditions under which medical expenses incurred during hospitalization are covered.,"['Medical Expenses', 'Hospitalization', 'Insured Person']",high Coverage,Health,3
C2056,"The Inpatient Hospitalization claim for such Hospitalization is admissible by the Insurance
Company.",Coverage,Hospitalization Claim,Low,No specific conditions or exceptions mentioned,"['Inpatient Hospitalization claim', 'Insurance Company']",moderate Coverage,Health,2
C2057,"Post-hospitalization Medical Expenses means medical expenses incurred during pre-defined
number of days immediately after the Insured Person is discharged from the Hospital, provided that:
a.",Coverage,Post-hospitalization Expenses,Medium,This clause defines the scope of post-hospitalization medical expenses covered by the insurance policy.,"['Post-hospitalization Medical Expenses', 'Discharged from the Hospital', 'Pre-defined number of days']",high Coverage,Health,3
C2058,"Such Medical Expenses are for the same condition for which the Insured Person’s Hospitalization
was required, and
b.",Coverage,Conditions of Coverage,Low,"This clause specifies the conditions under which medical expenses are covered, in relation to the hospitalization of the insured person.","['Medical Expenses', 'Hospitalization', 'Insured Person']",low Coverage,Health,1
C2059,"The Inpatient Hospitalization claim for such Hospitalization is admissible by the Insurance
Company.",Coverage,Inpatient Hospitalization,Low,No specific conditions or exceptions mentioned,"['Inpatient Hospitalization', 'claim', 'admissible', 'Insurance Company']",low Coverage,Health,1
C2060,"Portability means the right accorded to individual health insurance policyholders (including all
members under family cover), to transfer the credit gained for pre-existing conditions and time bound
exclusions, from one insurer to another insurer.",Coverage,Transferability,Medium,This clause pertains to the transfer of credits for pre-existing conditions and time-bound exclusions from one insurer to another.,"['Portability', 'individual health insurance policyholders', 'transfer', 'credit', 'pre-existing conditions', 'time bound exclusions']",high Coverage,Health,3
C2061,"Qualified Nurse means a person who holds a valid registration from the Nursing Council of India or
the Nursing Council of any state in India.",Coverage,Professional Services,Low,This clause defines the qualifications for a nurse covered under the policy.,"['Qualified Nurse', 'Nursing Council of India', 'Nursing Council of any state in India']",high Coverage,Health,3
C2062,"Reasonable and Customary Charges means the charges for services or supplies, which are the
standard charges for the specific provider and consistent with the prevailing charges in the
geographical area for identical or similar services, taking into account the nature of the Illness / Injury
involved.",Coverage,Charges,Low,No specific vulnerability or ambiguity in the clause,"['Reasonable and Customary Charges', 'services or supplies', 'standard charges', 'provider', 'geographical area', 'identical or similar services', 'Illness / Injury']",low Coverage,Health,1
C2063,"Renewal means the terms on which the contract of insurance can be renewed on mutual consent with
a provision of Grace Period for treating the renewal continuous for the purpose of gaining credit for
pre-existing diseases, time bound exclusions and for all Waiting Periods.",Coverage,Renewal and Continuity,Low,"This clause explains the conditions for renewing the insurance contract and the implications for pre-existing diseases, time-bound exclusions, and waiting periods.","['Renewal', 'Contract of insurance', 'Grace Period', 'Pre-existing diseases', 'Time bound exclusions', 'Waiting Periods']",moderate Coverage,Health,2
C2064,"Room Rent means the amount charged by a Hospital towards Room and Boarding expenses and
shall include the Associated Medical Expenses.",Coverage,Charges Covered,Low,This clause pertains to the definition of Room Rent and its associated medical expenses.,"['Room Rent', 'Amount', 'Hospital', 'Associated Medical Expenses']",high Coverage,Health,3
C2065,"Surgery or Surgical Procedure means manual and / or operative procedure (s) required for treatment
of an Illness or Injury, correction of deformities and defects, diagnosis and cure of diseases, relief from
suffering or prolongation of life, performed in a Hospital or Day Care Center by a Medical Practitioner.",Coverage,Procedures Covered,Low,The clause defines what is considered a surgical procedure under the health insurance policy.,"['Surgery', 'Surgical Procedure', 'Manual and/or operative procedure', 'Hospital', 'Day Care Center', 'Medical Practitioner']",high Coverage,Health,3
C2066,"Specific Definitions:
I.",Definitions,Specific,Low,This clause provides definitions for the policy terms.,"['Specific Definitions', 'I']",low Coverage,Health,1
C2067,Age means age last birthday.,Definitions,Age Definition,Low,This clause defines the term 'Age' as 'age last birthday',"['Age', 'last birthday']",low Coverage,Health,1
C2068,Base Sum Insured means the amount stated in the Policy Schedule.,Coverage,Sum Insured,Low,Defines the amount of coverage for the policy,"['Base Sum Insured', 'amount', 'Policy Schedule']",low Coverage,Health,1
C2069,"Bone Marrow Transplant is the actual undergoing of a transplant of human bone marrow using
haematopoietic stem cells.",Coverage,Medical Procedures,Low,No specific vulnerabilities or ambiguities found.,"['Bone Marrow Transplant', 'Human bone marrow', 'Haematopoietic stem cells']",low Coverage,Health,1
C2070,"The undergoing of a transplant has to be confirmed by a specialist medical
practitioner.",Coverage,Pre-existing Conditions,High,"This clause pertains to the requirement for confirmation of a transplant procedure by a specialist medical practitioner, likely to ensure the procedure is necessary and appropriate.","['transplant', 'specialist medical practitioner']",high Coverage,Health,3
C2071,"The following will be excluded:
i.",Exclusion,Specific Conditions,Medium,This clause specifies a condition that is excluded from coverage.,"['excluded', 'following']",high Exclusion,Health,3
C2072,"Where only islets of langerhans are transplanted
IV.",Transplant Procedures,Specific Procedures,Medium,"This clause pertains to the transplantation of islets of Langerhans, a part of the pancreas essential for insulin production.","['islets of langerhans', 'transplant', 'IV']",high Coverage,Health,3
C2073,"Break in Policy means the period of gap that occurs at the end of the existing policy term, when the
premium due for renewal on a given policy is not paid on or before the premium renewal date or within
30 days thereof.",Exclusion,Policy Lapse,High,The clause specifies the conditions under which the policy lapses due to non-payment of premium.,"['Break in Policy', 'premium due for renewal', 'premium renewal date', '30 days thereof']",high Exclusion,Health,3
C2074,"V. Critical Illness, an Illness, medical event or Surgical Procedure specifically defined in Section
4.2.",Coverage,Critical Illness Coverage,Medium,This clause defines the specific conditions covered under Critical Illness,"['Critical Illness', 'Medical event', 'Surgical Procedure', 'Section 4.2']",high Coverage,Health,3
C2075,"Diagnostic Services means those diagnostic tests and exploratory or therapeutic procedures
required for the detection, identification and treatment of a medical condition.",Coverage,Diagnostic Services,Low,This clause defines the diagnostic services covered under the health insurance policy.,"['Diagnostic Services', 'tests', 'exploratory procedures', 'treatment', 'medical condition']",high Coverage,Health,3
